classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
169603748,ACRE_AR,1775114,68892393e0a32b702145,11312,Retina Workflow,2.2,2019-06-08 01:28:25 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:18.706Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:25.290Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:18.557Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""test"",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
169603755,ACRE_AR,1775114,68892393e0a32b702145,11312,Retina Workflow,2.2,2019-06-08 01:28:32 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:27.468Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:31.930Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:27.091Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
169603763,ACRE_AR,1775114,68892393e0a32b702145,11312,Retina Workflow,2.2,2019-06-08 01:28:40 UTC,,,"{""source"":""api"",""session"":""3f57d03dabfd8edf4f83bd3d32a0398260de7ed91dc3492ad4309a8f9020d417"",""viewport"":{""width"":876,""height"":968},""started_at"":""2019-06-08T01:28:36.999Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-06-08T01:28:39.529Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-06-08T01:28:36.647Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""test"",""task_label"":""Can you transcribe the text that you see?""}]","{""33980158"":{""retired"":null,""my_own_id"":""0"",""the_image "":""./01.jpg""}}",33980158
190295508,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-09 12:35:45 UTC,,,"{""source"":""api"",""session"":""a16855308ee5442b55300d92a53fc854416b8807717c645d19ee2ff409adbe96"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-09T12:35:10.982Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-09T12:35:44.600Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":78,""clientHeight"":180,""naturalWidth"":78,""naturalHeight"":180}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-09T12:35:10.858Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Abatimiento"",""task_label"":""Can you transcribe the text that you see?""}]","{""38009692"":{""retired"":null}}",38009692
190445500,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:14:36 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:14:28.627Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:14:36.323Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":98,""clientHeight"":196,""naturalWidth"":98,""naturalHeight"":196}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Correction total"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014263"":{""retired"":null}}",38014263
190445504,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:14:41 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:14:37.376Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:14:41.428Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":227,""clientHeight"":81,""naturalWidth"":227,""naturalHeight"":81}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Millas"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014258"":{""retired"":null}}",38014258
190445518,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:14:53 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:14:42.348Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:14:53.326Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":70,""clientHeight"":158,""naturalWidth"":70,""naturalHeight"":158}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Abatimiento"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014261"":{""retired"":null}}",38014261
190445528,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:14:59 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:14:54.079Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:14:58.639Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":194,""clientHeight"":75,""naturalWidth"":194,""naturalHeight"":75}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014106"":{""retired"":null}}",38014106
190445550,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:15:17 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:14:59.456Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:15:16.607Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":116,""clientHeight"":136,""naturalWidth"":116,""naturalHeight"":136}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Vientos Direccion Fuerza"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014259"":{""retired"":null}}",38014259
190445554,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:15:21 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:15:17.584Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:15:21.220Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":162,""clientHeight"":127,""naturalWidth"":162,""naturalHeight"":127}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""10"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014257"":{""retired"":null}}",38014257
190445572,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:15:38 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:15:22.120Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:15:38.326Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":660,""clientHeight"":135,""naturalWidth"":660,""naturalHeight"":135}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Variacion de la aguja"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014264"":{""retired"":null}}",38014264
190445617,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:16:10 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:16:08.728Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:16:10.305Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":275,""clientHeight"":88,""naturalWidth"":275,""naturalHeight"":88}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014105"":{""retired"":null}}",38014105
190445680,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:16:46 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:16:10.919Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:16:46.111Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":123,""clientHeight"":134,""naturalWidth"":123,""naturalHeight"":134}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:14:28.476Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""Rumbo Navegado"",""task_label"":""Can you transcribe the text that you see?""}]","{""38014260"":{""retired"":null}}",38014260
190445689,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:16:50 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:16:47.661Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:16:49.742Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:16:47.541Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""10"",""task_label"":""Can you transcribe the text that you see?""}]","{""38009691"":{""retired"":null,""0"":""1"",""5b4eaaa8-c4fa-4bc5-a73f-cd8c200f32e4.jpg"":""8f778d2f-d96d-4395-9e58-b88485a9f901.jpg""}}",38009691
190445694,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:16:54 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:16:50.870Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:16:54.134Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:16:50.702Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":""10"",""task_label"":""Can you transcribe the text that you see?""}]","{""38009691"":{""retired"":null,""0"":""1"",""5b4eaaa8-c4fa-4bc5-a73f-cd8c200f32e4.jpg"":""8f778d2f-d96d-4395-9e58-b88485a9f901.jpg""}}",38009691
190446271,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 15:23:09 UTC,,,"{""source"":""api"",""session"":""38e87636124301f435e10786228976d66793d08ef66d6812f275f04a1df2d463"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T15:16:54.904Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T15:23:08.318Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":116,""clientHeight"":136,""naturalWidth"":116,""naturalHeight"":136}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T15:16:50.702Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014259"":{""retired"":null}}",38014259
190464144,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 18:14:09 UTC,,,"{""source"":""api"",""session"":""d219cb30e88ffd21c1570f7c3f601f4b2903cc2820b6b53911bcda20f4d4032b"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T18:14:02.957Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T18:14:08.614Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":116,""clientHeight"":136,""naturalWidth"":116,""naturalHeight"":136}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T18:14:02.831Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014259"":{""retired"":null}}",38014259
190464146,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 18:14:11 UTC,,,"{""source"":""api"",""session"":""d219cb30e88ffd21c1570f7c3f601f4b2903cc2820b6b53911bcda20f4d4032b"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T18:14:09.895Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T18:14:11.018Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":660,""clientHeight"":135,""naturalWidth"":660,""naturalHeight"":135}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T18:14:02.831Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014264"":{""retired"":null}}",38014264
190464149,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 18:14:13 UTC,,,"{""source"":""api"",""session"":""d219cb30e88ffd21c1570f7c3f601f4b2903cc2820b6b53911bcda20f4d4032b"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T18:14:11.788Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T18:14:12.629Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":123,""clientHeight"":134,""naturalWidth"":123,""naturalHeight"":134}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T18:14:02.831Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014260"":{""retired"":null}}",38014260
190464152,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 18:14:14 UTC,,,"{""source"":""api"",""session"":""d219cb30e88ffd21c1570f7c3f601f4b2903cc2820b6b53911bcda20f4d4032b"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T18:14:13.303Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T18:14:14.022Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":70,""clientHeight"":158,""naturalWidth"":70,""naturalHeight"":158}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T18:14:02.831Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014261"":{""retired"":null}}",38014261
190464158,ACRE_AR,1775114,a3db1af50edc99af4b4f,11312,Retina Workflow,2.2,2019-11-10 18:14:15 UTC,,,"{""source"":""api"",""session"":""d219cb30e88ffd21c1570f7c3f601f4b2903cc2820b6b53911bcda20f4d4032b"",""viewport"":{""width"":1301,""height"":672},""started_at"":""2019-11-10T18:14:14.620Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36"",""utc_offset"":""10800"",""finished_at"":""2019-11-10T18:14:15.170Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":162,""clientHeight"":127,""naturalWidth"":162,""naturalHeight"":127}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-10T18:14:02.831Z"",""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""21887""}","[{""task"":""T0"",""value"":"""",""task_label"":""Can you transcribe the text that you see?""}]","{""38014257"":{""retired"":null}}",38014257
